Fighter_name,Result,Opponent,Method,PF1,PF2,PF3,PF4,PF5,ID,totalTime,Hd,Wd,Rd,Ad,Ws,Ps
Satoshi Honma,Loss,Kazuhiro Kusayanagi,triangle choke,0,0,0,0,0,1262,1.2833333333333334,,,,,,
Satoshi Honma,Win,Yutaka Fuji,armbar,-1,0,0,0,0,1262,5.2,,,,,,
Fabio Gurgel,Win,Denilson Maia,Punches,0,0,0,0,0,454,9.916666666666666,,,,,,
Murilo Bustamante,Win,Marcelo Mendes,injury,0,0,0,0,0,1033,4.7,,,,,,
Satoshi Honma,Loss,Kenji Kawaguchi,Decision,1,1,1,-1,0,1262,15.0,,,,,,
Wallid Ismail,Win,Eugenio Tadeu,injury,0,0,0,0,0,1436,16.3,,,,,,
Renzo Gracie,Win,Luiz Augusto Alvareda,rear-naked choke,0,0,0,0,0,1161,7.05,,,,,,
Andre Pederneiras,Win,Francisco Francisco,rear naked choke,0,0,0,0,0,67,0.43333333333333335,,,,,,
Marco Ruas,Win,Francisco Francisco,rear naked choke,0,0,0,0,0,913,0.43333333333333335,,,,,,
Zane Frazier,Loss,Kevin Rosier,punches and stomps,0,0,0,0,0,1479,4.333333333333333,2.0,-35.0,-3.0635416666666657,-4.0,0.04416600757607293,0.3850060358822795
Royce Gracie,Win,Gerard Gordeau,rear-naked choke,0,0,0,0,0,1229,1.7333333333333334,-4.0,-40.0,-0.04756944444443434,-8.0,0.07538608833201516,0.3850060358822795
Jason DeLucia,Win,Trent Jenkins,rear naked choke,0,0,0,0,0,611,0.8666666666666667,,,,,,
Oleg Taktarov,Win,Vaskas Hilma,choke,0,0,0,0,0,1075,0.4,,,,,,
Oleg Taktarov,Win,Artur Almaev,corner stoppage,1,0,0,0,0,1075,4.416666666666667,,,,,,
Yoshiki Takahashi,Loss,Ken Shamrock,heel hook,0,0,0,0,0,1464,12.383333333333333,0.5360000000000014,8.8948228882833,2.9364583333333343,-5.0,0.12342338592182492,0.3850060358822795
Patrick Smith,Loss,Ken Shamrock,heel hook,0,0,0,0,0,1094,1.8166666666666667,1.0,15.0,2.9364583333333343,0.0,0.3850060358822795,0.3850060358822795
Yoshiki Takahashi,Win,James Mathews,Submission,-1,0,0,0,0,1464,1.1833333333333333,,,,,,
Yoshiki Takahashi,Loss,Masakatsu Funaki,TKO,1,-1,0,0,0,1464,3.15,,,,,,
Bas Rutten,Win,Takaku Fuke,knee to the body,0,0,0,0,0,120,2.05,,,,,,
Vernon White,Loss,Ryushi Yanagisawa,lost points,0,0,0,0,0,1418,8.916666666666666,,,,,,
Vernon White,Win,Katsuomi Inagaki,doctor stopage,-1,0,0,0,0,1418,22.066666666666666,,,,,,
Vernon White,Loss,Minoru Suzuki,leg scissor choke,1,-1,0,0,0,1418,2.6,,,,,,
Vernon White,Loss,Takaku Fuke,armbar,-1,1,-1,0,0,1418,1.3166666666666667,,,,,,
