Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time,PF1,PF2,PF3,PF4,PF5,ID
Satoshi Honma,Loss,1-1,Kazuhiro Kusayanagi,triangle choke,Shooto - Shooto,1990,1,1:17,0,0,0,0,0,1262
Satoshi Honma,Win,1-0,Yutaka Fuji,armbar,Shooto - Shooto,1990,2,2:36,-1,0,0,0,0,1262
Fabio Gurgel,Win,1–0,Denilson Maia,Punches,Desafio: Jiu-Jitsu vs. Luta Livre,1991,1,9:55,0,0,0,0,0,454
Satoshi Honma,Win,3-1-1,Manabu Yamada,armbar,Shooto - Shooto,1991,4,,1,-1,0,0,0,1262
Satoshi Honma,Win,2-1-1,Yoshimasa Ishikawa,armbar,Shooto - Shooto,1991,2,,1,1,-1,0,0,1262
Murilo Bustamante,Win,1–0,Marcelo Mendes,injury,Desafio-Jiu-Jitsu vs. Luta Livre,1991,1,4:42,0,0,0,0,0,1033
Satoshi Honma,Loss,3-2-1,Kenji Kawaguchi,Decision,Shooto - Shooto,1991,5,3:00,1,1,1,-1,0,1262
Wallid Ismail,Win,1–0,Eugenio Tadeu,injury,Desafio - Jiu Jitsu vs. Luta Livre,1991,1,16:18,0,0,0,0,0,1436
Renzo Gracie,Win,1–0,Luiz Augusto Alvareda,rear-naked choke,Desafio: Gracie Vale Tudo,1992,1,7:03,0,0,0,0,0,1161
Satoshi Honma,Loss,3-3-1,Manabu Yamada,armbar,Shooto - Shooto,1992,3,,-1,1,1,1,-1,1262
Andre Pederneiras,Win,1–0–1,Francisco Francisco,rear naked choke,Ruas Vale Tudo,1992,1,0:26,0,0,0,0,0,67
Marco Ruas,Win,1–0–1,Francisco Francisco,rear naked choke,Ruas Vale Tudo,1992,1,0:26,0,0,0,0,0,913
Zane Frazier,Loss,0-1,Kevin Rosier,punches and stomps,UFC 1,1993,1,4:20,0,0,0,0,0,1479
Royce Gracie,Win,3–0,Gerard Gordeau,rear-naked choke,UFC 1,1993,1,1:44,0,0,0,0,0,1229
Jason DeLucia,Win,1–0,Trent Jenkins,rear naked choke,UFC 1,1993,1,0:52,0,0,0,0,0,611
Oleg Taktarov,Win,1–0,Vaskas Hilma,choke,White Dragon: Day Two,1993,1,0:24,0,0,0,0,0,1075
Oleg Taktarov,Win,2–0,Artur Almaev,corner stoppage,White Dragon: Day Two,1993,1,4:25,1,0,0,0,0,1075
Yoshiki Takahashi,Loss,1-1,Ken Shamrock,heel hook,"Pancrase: Yes, We Are Hybrid Wrestlers 2",1993,1,12:23,0,0,0,0,0,1464
Patrick Smith,Loss,0–1,Ken Shamrock,heel hook,UFC 1,1993,1,1:49,0,0,0,0,0,1094
Yoshiki Takahashi,Win,2-1,James Mathews,Submission,"Pancrase: Yes, We Are Hybrid Wrestlers 3",1993,1,1:11,-1,0,0,0,0,1464
Yoshiki Takahashi,Loss,2-2,Masakatsu Funaki,TKO,"Pancrase: Yes, We Are Hybrid Wrestlers 4",1993,1,3:09,1,-1,0,0,0,1464
Bas Rutten,Win,2–0,Takaku Fuke,knee to the body,"Pancrase: Yes, We Are Hybrid Wrestlers 2",1993,1,2:03,0,0,0,0,0,120
Vernon White,Loss,1–3,Ryushi Yanagisawa,lost points,"Pancrase: Yes, We are Hybrid Wrestlers 4",1993,1,8:55,0,0,0,0,0,1418
Vernon White,Win,1–2,Katsuomi Inagaki,doctor stopage,"Pancrase: Yes, We are Hybrid Wrestlers 3",1993,1,22:04,-1,0,0,0,0,1418
Vernon White,Loss,0–2,Minoru Suzuki,leg scissor choke,"Pancrase: Yes, We are Hybrid Wrestlers 2",1993,1,2:36,1,-1,0,0,0,1418
Vernon White,Loss,0–1,Takaku Fuke,armbar,"Pancrase: Yes, We are Hybrid Wrestlers 1",1993,1,1:19,-1,1,-1,0,0,1418
Yoshiki Takahashi,Win,1-0,George Weingeroff,high kick,"Pancrase: Yes, We Are Hybrid Wrestlers 1",1993,1,1:23,-1,1,-1,0,0,1464
Art Jimmerson,Loss,0-1,Royce Gracie,position,UFC 1,1993,1,2:18,0,0,0,0,0,105
Teila Tuli,Loss,0-1,Gerard Gordeau,head kick and punches,UFC 1,1993,1,0:26,0,0,0,0,0,1351
Ken Shamrock,Win,2–0,Yoshiki Takahashi,heel hook,"Pancrase: Yes, We Are Hybrid Wrestlers 2",1993,1,12:23,0,0,0,0,0,800
Gerard Gordeau,Win,1–0,Teila Tuli,head kick,UFC 1,1993,1,0:26,0,0,0,0,0,504
Gerard Gordeau,Win,2–0,Kevin Rosier,corner stoppage,UFC 1,1993,1,0:59,1,0,0,0,0,504
Gerard Gordeau,Loss,2–1,Royce Gracie,rear-naked choke,UFC 1,1993,1,1:44,1,1,0,0,0,504
Bas Rutten,Win,1–0,Ryushi Yanagisawa,palm strike and knee,"Pancrase: Yes, We Are Hybrid Wrestlers 1",1993,1,0:43,1,0,0,0,0,120
Maurice Smith,Win,1–0,Minoru Suzuki,punch,"Pancrase: Yes, We Are Hybrid Wrestlers 3",1993,3,0:52,0,0,0,0,0,974
