Name,Height,Weight,Division,Reach,Birth_date,ID,Style,Wins
Leon Edwards,74.0,170.0,Middleweight,74.0,1991-08-25,852,Boxing,18
Rafael dos Anjos,68.0,170.0,Welterweight,70.0,1984-10-26,1138,BJJ,29
Walt Harris,77.0,258.0,Heavyweight,81.0,1983-06-10,1437,Karate,13
Aleksei Oleinik,74.0,235.0,Heavyweight,80.0,1977-06-25,28,BJJ,34
Greg Hardy,77.0,265.0,Heavyweight,80.5,1988-07-28,519,Boxing,5
Juan Adams,77.0,265.0,Heavyweight,81.0,1992-01-16,747,Boxing,5
Dan Hooker,72.0,155.5,Lightweight,75.0,1990-02-13,309,Kickboxing,18
James Vick,75.0,155.0,Welterweight,76.0,1987-02-23,596,BJJ,13
Alexander Hernandez,69.0,155.0,Lightweight,72.0,1992-10-01,45,Boxing,11
Francisco Trinaldo,69.0,155.0,Middleweight,70.0,1978-08-24,472,Sambo,23
Andrei Arlovski,75.0,249.0,Heavyweight,77.0,1979-02-04,72,Judo,28
Ben Rothwell,76.0,265.0,Heavyweight,78.5,1981-10-17,126,Sambo,36
Alex Caceres,70.0,145.0,Lightweight,73.5,1988-06-20,32,BJJ,15
Steven Peterson,69.0,145.0,Featherweight,70.0,1990-05-29,1324,BJJ,17
Raquel Pennington,67.0,135.0,Bantamweight,67.5,1988-09-05,1148,Wrestling,10
Irene Aldana,68.0,135.0,Bantamweight,68.5,1988-03-26,566,BJJ,10
Jennifer Maia,64.0,125.0,Flyweight,66.3030303030303,1988-10-06,631,BJJ,17
Roxanne Modafferi,67.0,125.0,Flyweight,69.0,1982-09-24,1226,BJJ,23
Ray Borg,64.0,125.0,Bantamweight,63.0,1993-08-04,1152,BJJ,12
Germaine de Randamie,69.0,143.0,Featherweight,71.0,1984-04-24,505,Sambo,9
Aspen Ladd,66.0,135.0,Bantamweight,67.6144578313253,1995-03-01,110,Muay_Thai,8
Urijah Faber,64.0,135.0,Featherweight,67.0,1979-05-14,1413,BJJ,35
Ricky Simon,66.0,136.0,Bantamweight,67.6144578313253,1992-08-31,1180,Sambo,15
Josh Emmett,69.20046082949308,146.0,Lightweight,70.0,1985-03-04,733,Sambo,15
Mirsad Bektić,68.0,145.0,Featherweight,70.0,1991-02-16,1024,Boxing,13
Karl Roberson,73.536,218.89482288828333,Heavyweight,74.0,1990-10-04,784,BJJ,8
Marvin Vettori,72.0,177.27424242424243,Middleweight,74.0,1993-09-20,948,BJJ,13
Cezar Ferreira,73.0,184.0,Middleweight,78.0,1985-02-15,200,Sambo,13
Andre Fili,71.0,145.0,Featherweight,74.0,1990-06-25,66,Kickboxing,20
Sheymon Moraes,68.0,145.0,Featherweight,72.0,1990-10-11,1301,Sambo,11
Julianna Peña,67.0,135.0,Bantamweight,69.0,1989-08-19,750,BJJ,9
Nicco Montaño,65.0,125.0,Bantamweight,65.0,1988-12-16,1053,Muay_Thai,4
Ryan Hall,70.0,145.0,Lightweight,70.90263157894736,1985-02-22,1238,BJJ,8
Darren Elkins,70.0,145.0,Lightweight,71.0,1984-05-16,334,Boxing,24
Jonathan Martinez,67.0,135.0,Bantamweight,67.6144578313253,1994-04-20,717,Judo,11
Pingyuan Liu,66.0,135.0,Bantamweight,67.6144578313253,1993-02-13,1128,Judo,13
Brianna Van Buren,59.0,115.0,Strawweight,64.67391304347827,1993-08-04,168,Muay_Thai,9
Lívia Renata Souza,64.0,115.0,Strawweight,64.67391304347827,1991-03-11,886,BJJ,13
Thiago Santos,74.0,205.0,Light heavyweight,76.0,1984-01-07,1358,Boxing,21
Holly Holm,68.0,144.0,Middleweight,70.0,1981-10-17,546,Sambo,12
Jorge Masvidal,71.0,163.1240663900415,Welterweight,74.0,1984-11-12,725,Boxing,34
Ben Askren,71.0,170.0,Middleweight,72.0,1984-07-18,124,Sambo,19
Jan Błachowicz,74.0,205.0,Light heavyweight,78.0,1983-02-24,600,BJJ,24
Luke Rockhold,75.0,205.0,Heavyweight,77.0,1984-10-17,881,BJJ,16
Michael Chiesa,73.0,170.0,Welterweight,75.5,1987-12-07,983,BJJ,16
Diego Sanchez,70.0,170.0,Middleweight,72.0,1981-12-31,377,BJJ,29
Arnold Allen,68.0,145.0,Lightweight,70.0,1994-01-17,104,Boxing,15
Gilbert Melendez,69.0,155.0,Lightweight,73.0,1982-04-12,510,Sambo,22
Marlon Vera,68.0,132.03298969072165,Bantamweight,70.5,1992-12-02,944,Kickboxing,14
Cláudia Gadelha,64.0,115.0,Strawweight,64.67391304347827,1988-12-07,256,BJJ,17
Randa Markos,64.0,115.0,Strawweight,63.5,1985-08-10,1143,Judo,9
Yadong Song,68.0,135.0,Bantamweight,67.0,1997-12-02,1452,Boxing,14
Alejandro Pérez,66.0,135.0,Bantamweight,67.0,1989-09-02,25,Boxing,21
Edmen Shahbazyan,74.0,185.0,Middleweight,74.0,1997-11-20,419,BJJ,10
Jack Marshman,72.0,177.27424242424243,Middleweight,73.0,1989-12-19,577,BJJ,23
Chance Rencountre,74.0,170.0,Welterweight,74.0,1986-12-31,207,Boxing,14
Julia Avila,67.0,135.0,Bantamweight,67.6144578313253,1988-05-11,748,Muay_Thai,7
Pannie Kianzad,67.0,135.0,Featherweight,68.0,1991-12-08,1086,Muay_Thai,11
Francis Ngannou,76.0,265.0,Heavyweight,83.0,1986-09-05,469,Karate,14
Junior dos Santos,76.0,248.0,Heavyweight,77.0,1984-01-30,757,Muay_Thai,21
Joseph Benavidez,64.0,125.0,Featherweight,65.0,1984-07-31,729,Boxing,28
Jussier Formiga,65.0,125.0,Flyweight,67.0,1985-04-14,758,BJJ,23
Demian Maia,73.0,170.0,Middleweight,72.0,1977-11-06,361,BJJ,27
Anthony Rocco Martin,72.0,170.0,Welterweight,73.5,1989-12-11,89,BJJ,16
Vinc Pichel,70.0,155.8,Lightweight,72.0,1982-11-23,1423,Karate,12
Roosevelt Roberts,73.0,155.0,Lightweight,70.90263157894736,1994-02-11,1217,BJJ,8
Drew Dober,68.0,155.1,Welterweight,70.0,1988-10-19,397,Boxing,21
Marco Polo Reyes,71.0,149.45642857142857,Lightweight,71.0,1984-11-07,912,Karate,8
Ricardo Ramos,69.0,135.0,Featherweight,72.0,1995-08-01,1167,BJJ,13
Eryk Anders,73.0,185.0,Heavyweight,75.0,1987-04-21,447,BJJ,12
Jared Gordon,69.0,149.45642857142857,Lightweight,68.0,1988-09-06,602,BJJ,15
Maurice Greene,79.0,265.0,Heavyweight,75.93645833333333,1986-07-05,973,Karate,8
Júnior Albini,75.0,266.0,Heavyweight,74.0,1991-03-15,774,Kickboxing,14
Chan Sung Jung,69.0,145.0,Lightweight,72.0,1987-03-17,206,Muay_Thai,15
Renato Moicano,71.0,146.0,Featherweight,72.0,1989-05-21,1157,Wrestling,13
Randy Brown,75.0,170.0,Welterweight,78.0,1990-07-08,1144,Muay_Thai,11
Bryan Barberena,72.0,170.0,Middleweight,72.0,1989-05-03,174,BJJ,14
Andrea Lee,67.0,125.0,Flyweight,69.5,1989-02-11,71,Judo,11
Montana De La Rosa,67.0,125.0,Flyweight,66.3030303030303,1995-02-14,1030,BJJ,10
Kevin Holland,75.0,185.0,Middleweight,81.0,1992-11-05,812,Boxing,15
Alessio Di Chirico,72.0,185.0,Heavyweight,74.0,1989-12-12,29,Boxing,12
Dan Ige,67.0,145.0,Featherweight,69.10576923076923,1991-08-06,310,BJJ,12
Kevin Aguilar,67.0,145.0,Featherweight,72.0,1988-09-07,809,Sambo,17
Ashley Yoder,67.0,115.0,Strawweight,69.0,1987-10-20,109,Judo,7
Luis Peña,75.0,155.0,Lightweight,76.0,1993-07-05,873,Boxing,7
Matt Wiman,70.0,155.0,Lightweight,67.0,1983-09-19,970,Kickboxing,16
Molly McCann,64.0,125.0,Flyweight,66.3030303030303,1990-05-04,1029,Sambo,9
Henry Cejudo,64.0,135.0,Bantamweight,64.0,1987-02-09,542,Sambo,15
Marlon Moraes,66.0,135.0,Bantamweight,67.0,1988-04-26,943,Boxing,22
Jessica Eye,66.0,125.0,Bantamweight,66.0,1986-07-27,648,Sambo,14
Tony Ferguson,71.0,155.0,Welterweight,76.5,1984-02-12,1386,Boxing,25
Donald Cerrone,73.0,156.0,Welterweight,73.0,1983-03-29,386,Kickboxing,36
Petr Yan,66.44859813084112,135.0,Bantamweight,67.0,1993-02-11,1121,Karate,13
Jimmie Rivera,64.0,135.0,Featherweight,68.0,1989-06-29,658,Boxing,22
Blagoy Ivanov,73.536,218.89482288828333,Heavyweight,73.0,1986-10-09,133,Boxing,18
Tai Tuivasa,74.0,264.0,Heavyweight,75.0,1993-03-16,1335,Muay_Thai,8
Tatiana Suarez,65.0,115.0,Strawweight,64.0,1990-12-19,1344,BJJ,8
Nina Ansaroff,65.0,115.0,Flyweight,64.0,1985-12-03,1069,BJJ,10
Aljamain Sterling,67.0,135.0,Featherweight,71.0,1989-07-21,55,Boxing,18
Pedro Munhoz,66.0,135.0,Bantamweight,65.0,1986-09-07,1113,Sambo,18
Alexa Grasso,65.0,115.0,Strawweight,64.67391304347827,1993-08-09,43,Sambo,11
Karolina Kowalkiewicz,63.0,115.0,Flyweight,64.0,1985-10-15,787,BJJ,12
Calvin Kattar,71.0,145.4,Lightweight,72.0,1988-03-26,185,Sambo,20
Ricardo Lamas,68.0,145.0,Lightweight,71.0,1982-05-21,1166,Muay_Thai,19
Xiaonan Yan,65.0,115.0,Strawweight,64.67391304347827,1989-06-16,1451,Karate,11
Angela Hill,63.0,115.0,Flyweight,64.0,1986-12-10,79,Sambo,9
Darren Stewart,72.0,218.89482288828333,Heavyweight,74.0,1990-12-30,335,Muay_Thai,10
Eddie Wineland,68.0,135.0,Bantamweight,69.0,1984-06-26,415,Boxing,24
Katlyn Chookagian,69.0,125.0,Bantamweight,68.0,1988-12-28,788,Judo,12
Joanne Calderwood,66.0,125.0,Flyweight,66.0,1986-12-23,663,Muay_Thai,13
Anthony Smith,75.0,205.0,Heavyweight,76.0,1988-07-26,90,Muay_Thai,31
Alexander Gustafsson,77.0,205.0,Heavyweight,79.0,1987-01-15,44,BJJ,18
Aleksandar Rakić,77.0,205.0,Light heavyweight,75.88888888888889,1992-02-06,26,Karate,12
Jimi Manuwa,73.0,205.0,Light heavyweight,79.5,1980-02-18,657,Karate,17
Makwan Amirkhani,70.0,146.0,Featherweight,72.0,1988-11-08,899,Wrestling,15
Christos Giagos,70.0,155.0,Lightweight,71.0,1990-01-23,246,Boxing,17
Damir Hadžović,71.0,149.45642857142857,Lightweight,70.0,1986-08-08,298,BJJ,13
Daniel Teymur,69.20046082949308,145.0,Lightweight,70.90263157894736,1988-02-03,321,Muay_Thai,7
Lina Länsberg,67.0,135.0,Featherweight,65.0,1982-03-13,859,Muay_Thai,9
Tonya Evinger,67.0,135.0,Featherweight,70.0,1981-06-04,1391,BJJ,19
Leonardo Santos,73.0,155.0,Welterweight,75.0,1980-02-05,855,Boxing,17
Stevie Ray,70.0,155.0,Welterweight,70.0,1990-03-25,1326,BJJ,22
Frank Camacho,70.0,163.1240663900415,Welterweight,73.0,1988-09-06,473,Sambo,22
Nick Hein,68.0,155.0,Welterweight,67.0,1984-04-24,1058,BJJ,14
Devin Clark,72.0,205.2,Light heavyweight,75.0,1990-04-12,370,BJJ,10
Kevin Lee,69.0,170.0,Welterweight,77.0,1992-09-04,815,BJJ,17
Felicia Spencer,66.0,149.45642857142857,Lightweight,70.90263157894736,1990-11-20,461,BJJ,7
Megan Anderson,72.0,145.0,Featherweight,72.5,1990-02-11,979,BJJ,9
Vicente Luque,71.0,170.0,Welterweight,75.5,1991-11-27,1420,Karate,16
Derrick Krantz,70.0,170.0,Middleweight,72.0,1988-01-13,367,Boxing,23
Charles Oliveira,70.0,155.0,Welterweight,74.0,1989-10-17,209,BJJ,27
Nik Lentz,68.0,155.0,Lightweight,68.0,1984-08-13,1065,Boxing,30
Davi Ramos,66.0,155.0,Lightweight,72.5,1986-11-05,346,BJJ,10
Sijara Eubanks,63.0,135.0,Flyweight,66.3030303030303,1985-04-27,1305,Muay_Thai,4
Desmond Green,70.45983935742971,155.0,Welterweight,73.0,1989-10-11,369,Sambo,23
Ed Herman,73.536,218.89482288828333,Heavyweight,77.0,1980-10-02,411,BJJ,24
Patrick Cummins,74.0,205.0,Light heavyweight,76.0,1980-11-16,1092,Sambo,10
Zak Cummings,72.0,170.0,Heavyweight,74.5,1984-08-02,1477,BJJ,23
Trevin Giles,72.0,185.0,Middleweight,74.0,1992-08-06,1400,Judo,11
Julio Arce,67.0,145.0,Featherweight,70.0,1989-10-27,752,BJJ,16
Jéssica Andrade,62.0,115.0,Bantamweight,62.0,1991-09-25,773,Boxing,20
Jared Cannonier,71.0,185.0,Heavyweight,77.0,1984-03-03,601,BJJ,12
Anderson Silva,74.0,185.0,Heavyweight,77.5,1975-04-14,64,Boxing,34
Alexander Volkanovski,66.0,145.0,Welterweight,71.5,1988-09-29,46,Boxing,20
José Aldo,67.0,145.0,Lightweight,70.0,1986-09-09,744,Muay_Thai,28
Bethe Correia,65.0,135.0,Bantamweight,67.6144578313253,1983-06-22,132,Sambo,10
Warlley Alves,71.0,170.0,Middleweight,72.0,1991-01-04,1439,Boxing,13
Sérgio Moraes,71.0,170.0,Middleweight,73.0,1982-07-23,1330,Boxing,14
Clay Guida,67.0,155.0,Lightweight,70.0,1981-12-08,252,Boxing,34
B.J. Penn,69.0,145.0,Middleweight,70.0,1978-12-13,116,BJJ,16
Al Iaquinta,70.0,155.0,Lightweight,70.0,1987-04-30,17,Sambo,14
Derek Brunson,73.0,185.0,Middleweight,77.0,1984-01-04,366,Boxing,19
Elias Theodorou,73.0,185.0,Middleweight,75.5,1988-05-31,428,Boxing,16
Shane Burgos,71.0,146.0,Featherweight,75.5,1991-03-19,1286,BJJ,12
Cub Swanson,67.0,145.0,Lightweight,70.0,1983-11-02,280,Boxing,25
Andrew Sanchez,73.0,185.0,Heavyweight,73.0,1988-04-08,76,BJJ,11
Macy Chiasson,69.0,135.0,Featherweight,69.10576923076923,1991-07-27,891,BJJ,5
Sarah Moras,67.0,139.0,Bantamweight,67.6144578313253,1988-04-30,1261,Muay_Thai,5
Nordine Taleb,73.0,170.0,Middleweight,74.0,1981-06-10,1072,Sambo,15
Arjan Bhullar,73.0,241.0,Heavyweight,76.0,1986-05-13,103,Muay_Thai,9
Jack Hermansson,73.0,185.0,Middleweight,77.5,1988-06-10,576,Muay_Thai,20
Ronaldo Souza,73.0,186.0,Middleweight,72.0,1979-12-07,1213,Kickboxing,26
Dmitry Smolyakov,74.0,257.0,Heavyweight,75.93645833333333,1982-08-05,380,Kickboxing,9
Mike Perry,70.0,170.5,Welterweight,71.0,1991-09-15,1008,Sambo,13
Alex Oliveira,71.0,171.0,Welterweight,76.0,1988-02-21,38,Boxing,19
Glover Teixeira,74.0,205.0,Light heavyweight,76.0,1979-10-28,515,Boxing,29
Ion Cuțelaba,73.0,205.0,Heavyweight,75.0,1993-12-14,565,Karate,14
Cory Sandhagen,71.0,135.0,Featherweight,71.0,1992-04-20,273,BJJ,11
John Lineker,63.0,135.0,Lightweight,67.0,1990-06-12,690,Boxing,31
Augusto Sakai,76.0,264.0,Heavyweight,75.93645833333333,1991-05-19,114,Sambo,13
Carla Esparza,61.0,115.0,Strawweight,64.67391304347827,1987-10-10,188,Boxing,14
Virna Jandiroba,63.0,115.0,Strawweight,64.67391304347827,1988-05-30,1427,BJJ,14
Gilbert Burns,70.0,155.0,Welterweight,71.0,1986-07-20,509,Muay_Thai,15
Jim Miller,68.0,155.0,Lightweight,71.0,1983-08-30,655,BJJ,30
Jason Gonzalez,74.0,155.0,Lightweight,74.0,1990-02-28,613,BJJ,11
Jodie Esquibel,61.0,105.0,Strawweight,64.67391304347827,1986-05-07,668,Sambo,6
Dhiego Lima,74.0,170.0,Middleweight,75.0,1989-01-31,372,BJJ,14
Court McGee,71.0,170.0,Middleweight,76.0,1984-12-12,276,Boxing,19
